// The beginning of this file contains the data necessary to initialize all screen on the smart phone application.
// Display and alert data packets have been intentially removed from this section of the data
// Clear the tutorial text here
<Tutorial_Text: >
<Tutorial_Text: this is a really really really really really really really really really really really really really really really really really really really really long line>
7F 07 AA DA E6 01 01 6C AB 8A 7F
// V1 Version: V3.8930
7F 0E AA D6 EA 02 08 56 33 2E 38 39 33 30 FF AB B7 7F
7F 07 AA DA E6 03 01 6E AB 8E 7F
// Valentine One w/ CS Serial Number = 1234567890
7F 11 AA D6 EA 04 0B 31 32 33 34 35 36 37 38 39 30 86 AB C8 7F
7F 07 AA DA E6 11 01 7C AB AA 7F
// V1 User bytes: FF FF FF FF FF FF
7F 0D AA D6 EA 12 07 FF FF FF FF FF FF 7D 5D AB B2 7F
7F 07 AA DA E6 22 01 8D AB CC 7F
// Sweep Sections: 36072 - 34774, 34770 - 33383
7F 11 AA D6 EA 23 0B 12 8C E8 87 D6 22 87 D2 82 67 DF AB 7A 7F
7F 07 AA DA E6 16 01 81 AB B4 7F
// Sweep Definition: Upper Edge: 34106     Lower Edge: 33900
7F 0C AA D6 EA 17 06 80 85 3A 84 6C B6 AB 23 7F
// Sweep Definition: Upper Edge: 34475     Lower Edge: 34180
7F 0C AA D6 EA 17 06 81 86 AB 85 84 42 AB 3B 7F
// Sweep Definition: Upper Edge: 34652     Lower Edge: 34563
7F 0C AA D6 EA 17 06 82 87 5C 87 03 76 AB A3 7F
// Sweep Definition: Upper Edge: 35526     Lower Edge: 35467
7F 0C AA D6 EA 17 06 83 8A C6 8A 8B 6F AB 95 7F
// Sweep Definition: Upper Edge: 0     Lower Edge: 0
7F 0C AA D6 EA 17 06 84 00 00 00 00 0B AB CD 7F
// Sweep Definition: Upper Edge: 0     Lower Edge: 0
7F 0C AA D6 EA 17 06 85 00 00 00 00 0C AB CF 7F
7F 07 AA DA E6 19 01 84 AB BA 7F
// Max sweep index = 05
7F 08 AA D6 EA 20 02 05 91 AB D5 7F
7F 07 AA DA E6 62 01 CD AB 4C 7F
// Battery Voltage = 13.09V
7F 09 AA D6 EA 63 03 0D 09 E6 AB 80 7F
7F 07 AA D2 E6 01 01 64 AB 7A 7F
// Savvy V1 Version: S1.0100
7F 0E AA D6 E2 02 08 53 31 2E 30 31 30 30 DF AB 77 7F
7F 07 AA D2 E6 03 01 66 AB 7E 7F
// Savvy Serial Number = S12345678
7F 11 AA D6 E2 04 0B 53 31 32 33 34 35 36 37 38 00 68 AB 8C 7F
7F 07 AA D2 E6 71 01 D4 AB 5A 7F
// Speed Setting = 56 KPH(34.8 MPH)    Source = Potentiometer    Unmute Enabled
7F 09 AA D6 E2 72 03 38 02 11 AB D6 7F
// Device ID 6 Version: B0.0015
7F 0E AA D6 E6 02 08 42 30 2E 30 30 31 35 D6 AB 65 7F
//
// Data below this point will include display and alert data packets
//
7F 0F AA D8 EA 31 09 77 77 00 00 00 0C 00 EB 8B AB D0 7F
7F 0F AA D8 EA 31 09 77 77 00 00 00 0C 00 EC 8C AB D2 7F
7F 0F AA D8 EA 31 09 77 77 00 00 00 0C 00 ED 8D AB D4 7F
7F 0F AA D8 EA 31 09 77 77 00 00 00 0C 00 EE 8E AB D6 7F
7F 0E AA D6 EA 43 08 00 00 00 00 00 00 00 B5 AB 23 7F
7F 0F AA D8 EA 31 09 77 77 00 00 00 0C 00 EF 8F AB D8 7F
7F 0F AA D8 EA 31 09 77 77 00 00 00 0C 00 F0 90 AB DA 7F
7F 0E AA D6 EA 43 08 00 00 00 00 00 00 00 B5 AB 23 7F
7F 0F AA D8 EA 31 09 77 77 00 00 00 0C 00 F1 91 AB DC 7F
7F 0F AA D8 EA 31 09 77 77 00 00 00 0C 00 F2 92 AB DE 7F
7F 0E AA D6 EA 43 08 00 00 00 00 00 00 00 B5 AB 23 7F
7F 0F AA D8 EA 31 09 77 77 00 00 00 0C 00 F3 93 AB E0 7F
7F 0F AA D8 EA 31 09 77 77 00 00 00 0C 00 F4 94 AB E2 7F
7F 0E AA D6 EA 43 08 00 00 00 00 00 00 00 B5 AB 23 7F
7F 0F AA D8 EA 31 09 77 77 00 00 00 0C 00 F5 95 AB E4 7F
7F 0F AA D8 EA 31 09 77 77 00 00 00 0C 00 F6 96 AB E6 7F
7F 0E AA D6 EA 43 08 00 00 00 00 00 00 00 B5 AB 23 7F
7F 0F AA D8 EA 31 09 77 77 00 00 00 0C 00 F7 97 AB E8 7F
7F 0F AA D8 EA 31 09 77 77 00 00 00 0C 00 F8 98 AB EA 7F
7F 0E AA D6 EA 43 08 00 00 00 00 00 00 00 B5 AB 23 7F
7F 0F AA D8 EA 31 09 77 77 00 00 00 0C 00 F9 99 AB EC 7F
7F 0F AA D8 EA 31 09 77 77 00 00 00 0C 00 FA 9A AB EE 7F
7F 0E AA D6 EA 43 08 00 00 00 00 00 00 00 B5 AB 23 7F
7F 0F AA D8 EA 31 09 77 77 00 00 00 0C 00 FB 9B AB F0 7F
7F 0F AA D8 EA 31 09 77 77 00 00 00 0C 00 FC 9C AB F2 7F
7F 0E AA D6 EA 43 08 00 00 00 00 00 00 00 B5 AB 23 7F
7F 0F AA D8 EA 31 09 77 77 00 00 00 0C 00 FD 9D AB F4 7F
7F 0F AA D8 EA 31 09 77 77 00 00 00 0C 00 FE 9E AB F6 7F
7F 0E AA D6 EA 43 08 00 00 00 00 00 00 00 B5 AB 23 7F
7F 0F AA D8 EA 31 09 77 77 00 00 00 0C 00 FF 9F AB F8 7F
7F 0F AA D8 EA 31 09 77 77 00 00 00 0C 00 00 A0 AB FA 7F
7F 0E AA D6 EA 43 08 00 00 00 00 00 00 00 B5 AB 23 7F
7F 0F AA D8 EA 31 09 77 77 00 00 00 0C 00 01 A1 AB FC 7F
7F 0F AA D8 EA 31 09 77 77 00 00 00 0C 00 02 A2 AB FE 7F
7F 0E AA D6 EA 43 08 00 00 00 00 00 00 00 B5 AB 23 7F
7F 0F AA D8 EA 31 09 77 77 00 00 00 0C 00 03 A3 AB 00 7F
7F 0F AA D8 EA 31 09 77 77 00 00 00 0C 00 04 A4 AB 02 7F
7F 0E AA D6 EA 43 08 00 00 00 00 00 00 00 B5 AB 23 7F
7F 0F AA D8 EA 31 09 77 77 00 00 00 0C 00 05 A5 AB 04 7F
7F 0F AA D8 EA 31 09 77 77 00 00 00 0C 00 06 A6 AB 06 7F
7F 0E AA D6 EA 43 08 00 00 00 00 00 00 00 B5 AB 23 7F
7F 0F AA D8 EA 31 09 77 77 00 00 00 0C 00 07 A7 AB 08 7F
7F 0F AA D8 EA 31 09 77 77 00 00 00 0C 00 08 A8 AB 0A 7F
7F 0F AA D8 EA 31 09 77 77 00 00 00 0C 00 09 A9 AB 0C 7F
7F 0E AA D6 EA 43 08 00 00 00 00 00 00 00 B5 AB 23 7F
7F 0F AA D8 EA 31 09 77 77 00 00 00 0C 00 0A AA AB 0E 7F
7F 0F AA D8 EA 31 09 77 77 00 00 00 0C 00 0B AB AB 10 7F
7F 0E AA D6 EA 43 08 00 00 00 00 00 00 00 B5 AB 23 7F
7F 0F AA D8 EA 31 09 77 77 00 00 00 0C 00 0C AC AB 12 7F
7F 0F AA D8 EA 31 09 77 77 00 00 00 0C 00 0D AD AB 14 7F
7F 0E AA D6 EA 43 08 00 00 00 00 00 00 00 B5 AB 23 7F
7F 0F AA D8 EA 31 09 77 77 00 00 00 0C 00 0E AE AB 16 7F
7F 0F AA D8 EA 31 09 77 77 00 00 00 0C 00 0F AF AB 18 7F
7F 0E AA D6 EA 43 08 00 00 00 00 00 00 00 B5 AB 23 7F
7F 0F AA D8 EA 31 09 77 77 00 00 00 0C 00 10 B0 AB 1A 7F
7F 0F AA D8 EA 31 09 77 77 00 00 00 0C 00 11 B1 AB 1C 7F
7F 0E AA D6 EA 43 08 00 00 00 00 00 00 00 B5 AB 23 7F
7F 0F AA D8 EA 31 09 77 77 00 00 00 0C 00 12 B2 AB 1E 7F
7F 0F AA D8 EA 31 09 77 77 00 00 00 0C 00 13 B3 AB 20 7F
7F 0E AA D6 EA 43 08 00 00 00 00 00 00 00 B5 AB 23 7F
7F 0F AA D8 EA 31 09 77 77 00 00 00 0C 00 14 B4 AB 22 7F
7F 0F AA D8 EA 31 09 77 77 00 00 00 0C 00 15 B5 AB 24 7F
7F 0E AA D6 EA 43 08 00 00 00 00 00 00 00 B5 AB 23 7F
7F 0F AA D8 EA 31 09 77 77 00 00 00 0C 00 16 B6 AB 26 7F
7F 0F AA D8 EA 31 09 77 77 00 00 00 0C 00 17 B7 AB 28 7F
7F 0E AA D6 EA 43 08 11 28 FA 86 00 28 81 17 AB E7 7F
7F 0F AA D8 EA 31 09 77 77 00 00 00 0C 00 18 B8 AB 2A 7F
<Tutorial_Text: Add X Band>
7F 0F AA D8 EA 31 09 06 06 01 28 28 0C 00 19 28 AB 0A 7F
7F 0E AA D6 EA 43 08 11 28 FA 86 3F 28 81 56 AB 65 7F
7F 0F AA D8 EA 31 09 06 06 01 28 28 0C 00 1A 29 AB 0C 7F
7F 0F AA D8 EA 31 09 06 06 01 28 28 0C 00 1B 2A AB 0E 7F
7F 0F AA D8 EA 31 09 06 06 01 28 28 0C 00 1C 2B AB 10 7F
7F 0E AA D6 EA 43 08 11 28 FA 86 3F 28 81 56 AB 65 7F
7F 0F AA D8 EA 31 09 06 06 01 28 28 0C 00 1D 2C AB 12 7F
7F 0F AA D8 EA 31 09 06 06 01 28 28 0C 00 1E 2D AB 14 7F
7F 0F AA D8 EA 31 09 06 06 01 28 28 0C 00 1F 2E AB 16 7F
7F 0E AA D6 EA 43 08 11 28 FA 86 3F 28 81 56 AB 65 7F
7F 0F AA D8 EA 31 09 06 06 01 28 28 0C 00 20 2F AB 18 7F
7F 0F AA D8 EA 31 09 06 06 01 28 28 0C 00 21 30 AB 1A 7F
7F 0F AA D8 EA 31 09 06 06 01 28 28 0C 00 22 31 AB 1C 7F
7F 0F AA D8 EA 31 09 06 06 01 28 28 0C 00 23 32 AB 1E 7F
7F 0E AA D6 EA 43 08 11 28 FA 86 3F 28 81 56 AB 65 7F
7F 0F AA D8 EA 31 09 06 06 01 28 28 0C 00 24 33 AB 20 7F
7F 0F AA D8 EA 31 09 06 06 01 28 28 0C 00 25 34 AB 22 7F
7F 0F AA D8 EA 31 09 06 06 01 28 28 0C 00 26 35 AB 24 7F
7F 0E AA D6 EA 43 08 12 28 FA 86 3F 28 01 D7 AB 67 7F
<Tutorial_Text: Add another X band>
7F 0F AA D8 EA 31 09 5B 5B 01 28 28 0C 00 27 E0 AB 7A 7F
7F 0E AA D6 EA 43 08 22 29 00 86 00 28 81 2F AB 17 7F
7F 0F AA D8 EA 31 09 5B 5B 01 28 28 0C 00 28 E1 AB 7C 7F
7F 0F AA D8 EA 31 09 5B 5B 01 28 28 0C 00 29 E2 AB 7E 7F
7F 0F AA D8 EA 31 09 5B 5B 01 28 28 0C 00 2A E3 AB 80 7F
7F 0E AA D6 EA 43 08 12 28 FA 86 3F 28 01 D7 AB 67 7F
7F 0F AA D8 EA 31 09 5B 5B 01 28 28 0C 00 2B E4 AB 82 7F
7F 0E AA D6 EA 43 08 22 29 00 86 3F 28 81 6E AB 95 7F
7F 0F AA D8 EA 31 09 5B 5B 01 28 28 0C 00 2C E5 AB 84 7F
7F 0F AA D8 EA 31 09 5B 5B 01 28 28 0C 00 2D E6 AB 86 7F
7F 0E AA D6 EA 43 08 12 28 FA 86 3F 28 01 D7 AB 67 7F
7F 0F AA D8 EA 31 09 5B 5B 01 28 28 0C 00 2E E7 AB 88 7F
7F 0E AA D6 EA 43 08 22 29 00 86 3F 28 81 6E AB 95 7F
7F 0F AA D8 EA 31 09 5B 5B 01 28 28 0C 00 2F E8 AB 8A 7F
7F 0F AA D8 EA 31 09 5B 5B 01 28 28 0C 00 30 E9 AB 8C 7F
7F 0F AA D8 EA 31 09 5B 5B 01 28 28 0C 00 31 EA AB 8E 7F
7F 0F AA D8 EA 31 09 5B 5B 01 28 28 0C 00 32 EB AB 90 7F
7F 0F AA D8 EA 31 09 5B 5B 01 28 28 0C 00 33 EC AB 92 7F
7F 0E AA D6 EA 43 08 12 28 FA 83 3C 28 01 D1 AB 5B 7F
7F 0F AA D8 EA 31 09 5B 5B 01 28 28 0C 00 34 ED AB 94 7F
7F 0E AA D6 EA 43 08 22 29 00 86 3F 28 81 6E AB 95 7F
7F 0F AA D8 EA 31 09 5B 5B 01 28 28 0C 00 35 EE AB 96 7F
7F 0F AA D8 EA 31 09 5B 5B 01 28 28 0C 00 36 EF AB 98 7F
7F 0F AA D8 EA 31 09 5B 5B 01 28 28 0C 00 37 F0 AB 9A 7F
7F 0F AA D8 EA 31 09 5B 5B 01 28 28 0C 00 38 F1 AB 9C 7F
7F 0F AA D8 EA 31 09 5B 5B 01 28 28 0C 00 39 F2 AB 9E 7F
7F 0F AA D8 EA 31 09 5B 5B 01 28 28 0C 00 3A F3 AB A0 7F
7F 0E AA D6 EA 43 08 13 28 FA 86 3F 28 01 D8 AB 69 7F
7F 0F AA D8 EA 31 09 5B 5B 01 28 28 0C 00 3B F4 AB A2 7F
7F 0E AA D6 EA 43 08 23 29 00 86 3F 28 01 EF AB 97 7F
<Tutorial_Text: Add a 3rd X band>
7F 0F AA D8 EA 31 09 4F 4F 03 68 28 0C 00 3C 1F AB F8 7F
7F 0E AA D6 EA 43 08 33 29 08 9B 9B 48 81 18 AB E9 7F
7F 0F AA D8 EA 31 09 4F 4F 03 68 28 0C 00 3D 20 AB FA 7F
7F 0F AA D8 EA 31 09 4F 4F 03 68 28 0C 00 3E 21 AB FC 7F
7F 0F AA D8 EA 31 09 4F 4F 03 68 28 0C 00 3F 22 AB FE 7F
7F 0E AA D6 EA 43 08 13 28 FA 86 3F 28 01 D8 AB 69 7F
7F 0F AA D8 EA 31 09 4F 4F 03 68 28 0C 00 40 23 AB 00 7F
7F 0E AA D6 EA 43 08 23 29 00 86 3F 28 01 EF AB 97 7F
7F 0F AA D8 EA 31 09 4F 4F 03 68 28 0C 00 41 24 AB 02 7F
7F 0E AA D6 EA 43 08 33 29 08 9B 9B 48 81 18 AB E9 7F
7F 0F AA D8 EA 31 09 4F 4F 03 68 28 0C 00 42 25 AB 04 7F
7F 0F AA D8 EA 31 09 4F 4F 03 68 28 0C 00 43 26 AB 06 7F
7F 0E AA D6 EA 43 08 14 28 FA 86 3F 28 01 D9 AB 6B 7F
<Tutorial_Text: Add a 4th X Band>
7F 0F AA D8 EA 31 09 66 66 07 E8 68 0C 00 44 19 AB EC 7F
7F 0E AA D6 EA 43 08 24 29 00 83 3C 28 01 EA AB 8D 7F
